state,date,creditcardSpend
MS,2020-01-05,0
MO,2020-01-05,0
MT,2020-01-05,0
NE,2020-01-05,0
NV,2020-01-05,0
NH,2020-01-05,0
NJ,2020-01-05,0
NM,2020-01-05,0
NY,2020-01-05,0
NC,2020-01-05,0
ND,2020-01-05,0
OH,2020-01-05,0
OK,2020-01-05,0
OR,2020-01-05,0
PA,2020-01-05,0
RI,2020-01-05,0
SC,2020-01-05,0
SD,2020-01-05,0
TN,2020-01-05,0
TX,2020-01-05,0
UT,2020-01-05,0
VT,2020-01-05,0
VA,2020-01-05,0
WA,2020-01-05,0
WV,2020-01-05,0
WI,2020-01-05,0
WY,2020-01-05,0
AL,2020-01-06,0
AK,2020-01-06,0
AZ,2020-01-06,0
AR,2020-01-06,0
CA,2020-01-06,0
CO,2020-01-06,0
CT,2020-01-06,0
DE,2020-01-06,0
DC,2020-01-06,0
FL,2020-01-06,0
GA,2020-01-06,0
HI,2020-01-06,0
ID,2020-01-06,0
IL,2020-01-06,0
IN,2020-01-06,0
IA,2020-01-06,0
KS,2020-01-06,0
KY,2020-01-06,0
LA,2020-01-06,0
ME,2020-01-06,0
MD,2020-01-06,0
MA,2020-01-06,0
MI,2020-01-06,0
MN,2020-01-06,0
MS,2020-01-06,0
MO,2020-01-06,0
MT,2020-01-06,0
NE,2020-01-06,0
NV,2020-01-06,0
NH,2020-01-06,0
NJ,2020-01-06,0
NM,2020-01-06,0
NY,2020-01-06,0
NC,2020-01-06,0
ND,2020-01-06,0
OH,2020-01-06,0
OK,2020-01-06,0
OR,2020-01-06,0
PA,2020-01-06,0
RI,2020-01-06,0
SC,2020-01-06,0
SD,2020-01-06,0
TN,2020-01-06,0
TX,2020-01-06,0
UT,2020-01-06,0
VT,2020-01-06,0
VA,2020-01-06,0
WA,2020-01-06,0
WV,2020-01-06,0
WI,2020-01-06,0
WY,2020-01-06,0
AL,2020-01-07,0
AK,2020-01-07,0
AZ,2020-01-07,0
AR,2020-01-07,0
CA,2020-01-07,0
CO,2020-01-07,0
CT,2020-01-07,0
DE,2020-01-07,0
DC,2020-01-07,0
FL,2020-01-07,0
GA,2020-01-07,0
HI,2020-01-07,0
ID,2020-01-07,0
IL,2020-01-07,0
IN,2020-01-07,0
IA,2020-01-07,0
KS,2020-01-07,0
KY,2020-01-07,0
LA,2020-01-07,0
ME,2020-01-07,0
MD,2020-01-07,0
MA,2020-01-07,0
MI,2020-01-07,0
MN,2020-01-07,0
MS,2020-01-07,0
MO,2020-01-07,0
MT,2020-01-07,0
NE,2020-01-07,0
NV,2020-01-07,0
NH,2020-01-07,0
NJ,2020-01-07,0
NM,2020-01-07,0
NY,2020-01-07,0
NC,2020-01-07,0
ND,2020-01-07,0
OH,2020-01-07,0
OK,2020-01-07,0
OR,2020-01-07,0
PA,2020-01-07,0
RI,2020-01-07,0
SC,2020-01-07,0
SD,2020-01-07,0
TN,2020-01-07,0
TX,2020-01-07,0
UT,2020-01-07,0
VT,2020-01-07,0
VA,2020-01-07,0
WA,2020-01-07,0
WV,2020-01-07,0
WI,2020-01-07,0
WY,2020-01-07,0
AL,2020-01-08,0
AK,2020-01-08,0
AZ,2020-01-08,0
AR,2020-01-08,0
CA,2020-01-08,0
CO,2020-01-08,0
CT,2020-01-08,0
DE,2020-01-08,0
DC,2020-01-08,0
FL,2020-01-08,0
GA,2020-01-08,0
HI,2020-01-08,0
ID,2020-01-08,0
IL,2020-01-08,0
IN,2020-01-08,0
IA,2020-01-08,0
KS,2020-01-08,0
KY,2020-01-08,0
LA,2020-01-08,0
ME,2020-01-08,0
MD,2020-01-08,0
MA,2020-01-08,0
MI,2020-01-08,0
MN,2020-01-08,0
MS,2020-01-08,0
MO,2020-01-08,0
MT,2020-01-08,0
NE,2020-01-08,0
NV,2020-01-08,0
NH,2020-01-08,0
NJ,2020-01-08,0
NM,2020-01-08,0
NY,2020-01-08,0
NC,2020-01-08,0
ND,2020-01-08,0
OH,2020-01-08,0
OK,2020-01-08,0
OR,2020-01-08,0
PA,2020-01-08,0
RI,2020-01-08,0
SC,2020-01-08,0
SD,2020-01-08,0
TN,2020-01-08,0
TX,2020-01-08,0
UT,2020-01-08,0
VT,2020-01-08,0
VA,2020-01-08,0
WA,2020-01-08,0
WV,2020-01-08,0
WI,2020-01-08,0
WY,2020-01-08,0
AL,2020-01-09,0
AK,2020-01-09,0
AZ,2020-01-09,0
AR,2020-01-09,0
CA,2020-01-09,0
CO,2020-01-09,0
CT,2020-01-09,0
DE,2020-01-09,0
DC,2020-01-09,0
FL,2020-01-09,0
GA,2020-01-09,0
HI,2020-01-09,0
ID,2020-01-09,0
IL,2020-01-09,0
IN,2020-01-09,0
IA,2020-01-09,0
KS,2020-01-09,0
KY,2020-01-09,0
LA,2020-01-09,0
ME,2020-01-09,0
MD,2020-01-09,0
MA,2020-01-09,0
MI,2020-01-09,0
MN,2020-01-09,0
MS,2020-01-09,0
MO,2020-01-09,0
MT,2020-01-09,0
NE,2020-01-09,0
NV,2020-01-09,0
NH,2020-01-09,0
NJ,2020-01-09,0
NM,2020-01-09,0
NY,2020-01-09,0
NC,2020-01-09,0
ND,2020-01-09,0
OH,2020-01-09,0
OK,2020-01-09,0
OR,2020-01-09,0
PA,2020-01-09,0
RI,2020-01-09,0
SC,2020-01-09,0
SD,2020-01-09,0
TN,2020-01-09,0
TX,2020-01-09,0
UT,2020-01-09,0
VT,2020-01-09,0
VA,2020-01-09,0
WA,2020-01-09,0
WV,2020-01-09,0
WI,2020-01-09,0
WY,2020-01-09,0
AL,2020-01-10,0
AK,2020-01-10,0
AZ,2020-01-10,0
AR,2020-01-10,0
CA,2020-01-10,0
CO,2020-01-10,0
CT,2020-01-10,0
DE,2020-01-10,0
DC,2020-01-10,0
FL,2020-01-10,0
GA,2020-01-10,0
HI,2020-01-10,0
ID,2020-01-10,0
IL,2020-01-10,0
IN,2020-01-10,0
IA,2020-01-10,0
KS,2020-01-10,0
KY,2020-01-10,0
LA,2020-01-10,0
ME,2020-01-10,0
MD,2020-01-10,0
MA,2020-01-10,0
MI,2020-01-10,0
MN,2020-01-10,0
MS,2020-01-10,0
MO,2020-01-10,0
MT,2020-01-10,0
NE,2020-01-10,0
NV,2020-01-10,0
NH,2020-01-10,0
NJ,2020-01-10,0
NM,2020-01-10,0
NY,2020-01-10,0
NC,2020-01-10,0
ND,2020-01-10,0
OH,2020-01-10,0
OK,2020-01-10,0
OR,2020-01-10,0
PA,2020-01-10,0
RI,2020-01-10,0
SC,2020-01-10,0
SD,2020-01-10,0
TN,2020-01-10,0
TX,2020-01-10,0
UT,2020-01-10,0
VT,2020-01-10,0
VA,2020-01-10,0
WA,2020-01-10,0
WV,2020-01-10,0
WI,2020-01-10,0
WY,2020-01-10,0
AL,2020-01-11,0
AK,2020-01-11,0
AZ,2020-01-11,0
AR,2020-01-11,0
CA,2020-01-11,0
CO,2020-01-11,0
CT,2020-01-11,0
DE,2020-01-11,0
DC,2020-01-11,0
FL,2020-01-11,0
GA,2020-01-11,0
HI,2020-01-11,0
ID,2020-01-11,0
IL,2020-01-11,0
IN,2020-01-11,0
IA,2020-01-11,0
KS,2020-01-11,0
KY,2020-01-11,0
LA,2020-01-11,0
ME,2020-01-11,0
MD,2020-01-11,0
MA,2020-01-11,0
MI,2020-01-11,0
MN,2020-01-11,0
MS,2020-01-11,0
MO,2020-01-11,0
MT,2020-01-11,0
NE,2020-01-11,0
NV,2020-01-11,0
NH,2020-01-11,0
NJ,2020-01-11,0
NM,2020-01-11,0
NY,2020-01-11,0
NC,2020-01-11,0
ND,2020-01-11,0
OH,2020-01-11,0
OK,2020-01-11,0
OR,2020-01-11,0
PA,2020-01-11,0
RI,2020-01-11,0
SC,2020-01-11,0
SD,2020-01-11,0
TN,2020-01-11,0
TX,2020-01-11,0
UT,2020-01-11,0
VT,2020-01-11,0
VA,2020-01-11,0
WA,2020-01-11,0
WV,2020-01-11,0
WI,2020-01-11,0
WY,2020-01-11,0
AL,2020-01-12,0
AK,2020-01-12,0
AZ,2020-01-12,0
AR,2020-01-12,0
CA,2020-01-12,0
CO,2020-01-12,0
CT,2020-01-12,0
DE,2020-01-12,0
DC,2020-01-12,0
FL,2020-01-12,0
GA,2020-01-12,0
HI,2020-01-12,0
ID,2020-01-12,0
IL,2020-01-12,0
IN,2020-01-12,0
IA,2020-01-12,0
KS,2020-01-12,0
KY,2020-01-12,0
LA,2020-01-12,0
ME,2020-01-12,0
MD,2020-01-12,0
MA,2020-01-12,0
MI,2020-01-12,0
MN,2020-01-12,0
MS,2020-01-12,0
MO,2020-01-12,0
MT,2020-01-12,0
NE,2020-01-12,0
NV,2020-01-12,0
NH,2020-01-12,0
NJ,2020-01-12,0
NM,2020-01-12,0
NY,2020-01-12,0
NC,2020-01-12,0
ND,2020-01-12,0
OH,2020-01-12,0
OK,2020-01-12,0
OR,2020-01-12,0
PA,2020-01-12,0
RI,2020-01-12,0
SC,2020-01-12,0
SD,2020-01-12,0
TN,2020-01-12,0
TX,2020-01-12,0
UT,2020-01-12,0
VT,2020-01-12,0
VA,2020-01-12,0
WA,2020-01-12,0
WV,2020-01-12,0
WI,2020-01-12,0
WY,2020-01-12,0
AL,2020-01-13,.00571
AK,2020-01-13,-.0355
AZ,2020-01-13,-.0112
AR,2020-01-13,-.0417
CA,2020-01-13,-.00567
CO,2020-01-13,.00292
CT,2020-01-13,.000154
DE,2020-01-13,.0373
DC,2020-01-13,.0214
FL,2020-01-13,-.00536
GA,2020-01-13,.00131
HI,2020-01-13,-.0203
ID,2020-01-13,-.0124
IL,2020-01-13,.0134
IN,2020-01-13,.0374
IA,2020-01-13,-.0188
KS,2020-01-13,.00487
KY,2020-01-13,.0177
LA,2020-01-13,-.00934
ME,2020-01-13,.00438
MD,2020-01-13,.0427
MA,2020-01-13,.0119
MI,2020-01-13,-.00586
MN,2020-01-13,-.0127
MS,2020-01-13,.0109
MO,2020-01-13,.0595
MT,2020-01-13,-.00197
NE,2020-01-13,.0112
NV,2020-01-13,-.0201
NH,2020-01-13,.0102
NJ,2020-01-13,.00929
NM,2020-01-13,-.0127
NY,2020-01-13,-.0112
NC,2020-01-13,-.00124
ND,2020-01-13,-.00726
OH,2020-01-13,.0238
OK,2020-01-13,.00677
OR,2020-01-13,-.0107
PA,2020-01-13,.00354
RI,2020-01-13,-.0379
SC,2020-01-13,-.00348
SD,2020-01-13,-.0201
TN,2020-01-13,.00263
TX,2020-01-13,-.0171
UT,2020-01-13,-.0276
VT,2020-01-13,.0172
VA,2020-01-13,.0233
WA,2020-01-13,.00169
WV,2020-01-13,.011
WI,2020-01-13,-.0282
WY,2020-01-13,-.014
AL,2020-01-14,-.009
AK,2020-01-14,-.0377
AZ,2020-01-14,-.00633
AR,2020-01-14,-.024
CA,2020-01-14,.000194
CO,2020-01-14,.00258
CT,2020-01-14,.0199
DE,2020-01-14,.0403
DC,2020-01-14,.0672
FL,2020-01-14,.00125
GA,2020-01-14,-.00969
HI,2020-01-14,-.012
ID,2020-01-14,-.0182
IL,2020-01-14,.00909
IN,2020-01-14,.0134
IA,2020-01-14,-.0253
KS,2020-01-14,.0198
KY,2020-01-14,.0143
LA,2020-01-14,-.0127
ME,2020-01-14,.0303
MD,2020-01-14,.0683
MA,2020-01-14,.0245
MI,2020-01-14,-.00806
MN,2020-01-14,-.0175
MS,2020-01-14,-.0158
MO,2020-01-14,.0185
MT,2020-01-14,.00301
NE,2020-01-14,.0141
NV,2020-01-14,-.0233
NH,2020-01-14,.0224
NJ,2020-01-14,.0194
NM,2020-01-14,-.00934
NY,2020-01-14,-.0045
NC,2020-01-14,.00516
ND,2020-01-14,-.00178
OH,2020-01-14,.00399
OK,2020-01-14,.0167
OR,2020-01-14,-.0203
PA,2020-01-14,.0129
RI,2020-01-14,-.0327
SC,2020-01-14,-.000418
SD,2020-01-14,-.0468
TN,2020-01-14,.00247
TX,2020-01-14,-.011
UT,2020-01-14,-.0351
VT,2020-01-14,.00987
VA,2020-01-14,.0481
WA,2020-01-14,-.0295
WV,2020-01-14,.0353
WI,2020-01-14,-.0337
WY,2020-01-14,-.0122
AL,2020-01-15,.000925
AK,2020-01-15,-.00717
AZ,2020-01-15,.0228
AR,2020-01-15,.0024
CA,2020-01-15,.0138
CO,2020-01-15,.0247
CT,2020-01-15,.0349
DE,2020-01-15,.0248
DC,2020-01-15,.0316
FL,2020-01-15,.0218
GA,2020-01-15,.00427
HI,2020-01-15,.00441
ID,2020-01-15,.000899
IL,2020-01-15,.0253
IN,2020-01-15,.0301
IA,2020-01-15,.000435
KS,2020-01-15,.0315
KY,2020-01-15,.0407
LA,2020-01-15,.00766
ME,2020-01-15,.0511
MD,2020-01-15,.0141
MA,2020-01-15,.0339
MI,2020-01-15,.00193
MN,2020-01-15,-.000783
MS,2020-01-15,-.0115
MO,2020-01-15,.0266
MT,2020-01-15,.012
NE,2020-01-15,.0417
NV,2020-01-15,-.00123
NH,2020-01-15,.0434
NJ,2020-01-15,.0318
NM,2020-01-15,.0138
NY,2020-01-15,.0194
NC,2020-01-15,.0114
ND,2020-01-15,.00941
OH,2020-01-15,.0103
OK,2020-01-15,.0347
OR,2020-01-15,.0111
PA,2020-01-15,.026
RI,2020-01-15,.0267
SC,2020-01-15,.0266
SD,2020-01-15,-.0222
TN,2020-01-15,.0133
TX,2020-01-15,.013
UT,2020-01-15,-.0107
VT,2020-01-15,.0419
VA,2020-01-15,.0332
WA,2020-01-15,-.028
WV,2020-01-15,.0471
WI,2020-01-15,-.00988
WY,2020-01-15,.0224
AL,2020-01-16,.00867
AK,2020-01-16,.00364
AZ,2020-01-16,.0249
AR,2020-01-16,.0287
CA,2020-01-16,.0166
CO,2020-01-16,.0284
CT,2020-01-16,.0367
DE,2020-01-16,.0323
DC,2020-01-16,.0148
FL,2020-01-16,.0342
GA,2020-01-16,.0185
HI,2020-01-16,.0045
ID,2020-01-16,.00394
IL,2020-01-16,.0406
IN,2020-01-16,.0416
IA,2020-01-16,.0159
KS,2020-01-16,.0318
KY,2020-01-16,.0569
LA,2020-01-16,.0164
ME,2020-01-16,.0226
MD,2020-01-16,-.000401
MA,2020-01-16,.0402
MI,2020-01-16,.00819
MN,2020-01-16,.00917
MS,2020-01-16,-.00687
MO,2020-01-16,.0524
MT,2020-01-16,-.00544
NE,2020-01-16,.0551
NV,2020-01-16,.0183
NH,2020-01-16,.0351
NJ,2020-01-16,.0388
NM,2020-01-16,.00961
NY,2020-01-16,.033
NC,2020-01-16,.0126
ND,2020-01-16,.000236
OH,2020-01-16,.0236
OK,2020-01-16,.0397
OR,2020-01-16,.00677
PA,2020-01-16,.0371
RI,2020-01-16,.0181
SC,2020-01-16,.0463
SD,2020-01-16,.00748
TN,2020-01-16,.0247
TX,2020-01-16,.0197
UT,2020-01-16,-.00174
VT,2020-01-16,.0223
VA,2020-01-16,.0296
WA,2020-01-16,-.025
WV,2020-01-16,.0532
WI,2020-01-16,.00618
WY,2020-01-16,.0428
AL,2020-01-17,-.00482
AK,2020-01-17,-.009
AZ,2020-01-17,.00753
AR,2020-01-17,.0187
CA,2020-01-17,.0102
CO,2020-01-17,.0177
CT,2020-01-17,.00958
DE,2020-01-17,.00686
DC,2020-01-17,.00791
FL,2020-01-17,.0146
GA,2020-01-17,.00656
HI,2020-01-17,-.000821
ID,2020-01-17,.0122
IL,2020-01-17,.00503
IN,2020-01-17,.0311
IA,2020-01-17,-.0327
KS,2020-01-17,-.0169
KY,2020-01-17,.0264
LA,2020-01-17,-.0000578
ME,2020-01-17,-.0171
MD,2020-01-17,-.0218
MA,2020-01-17,-.00619
MI,2020-01-17,-.0469
MN,2020-01-17,-.0146
MS,2020-01-17,-.0105
MO,2020-01-17,.0258
MT,2020-01-17,.0286
NE,2020-01-17,-.0216
NV,2020-01-17,.0225
NH,2020-01-17,-.00849
NJ,2020-01-17,.00553
NM,2020-01-17,.00261
NY,2020-01-17,-.00122
NC,2020-01-17,-.00291
ND,2020-01-17,-.0165
OH,2020-01-17,.00591
OK,2020-01-17,-.0056
OR,2020-01-17,-.0161
PA,2020-01-17,.00459
RI,2020-01-17,.0279
SC,2020-01-17,.0209
SD,2020-01-17,-.0491
TN,2020-01-17,.00456
TX,2020-01-17,.00109
UT,2020-01-17,-.0085
VT,2020-01-17,-.0187
VA,2020-01-17,.0123
WA,2020-01-17,-.0376
WV,2020-01-17,.0374
WI,2020-01-17,-.0348
WY,2020-01-17,.00358
AL,2020-01-18,.017
AK,2020-01-18,-.00127
AZ,2020-01-18,.0132
AR,2020-01-18,.0242
CA,2020-01-18,.0161
CO,2020-01-18,.0155
CT,2020-01-18,.00129
DE,2020-01-18,-.0024
DC,2020-01-18,.0113
FL,2020-01-18,.0195
GA,2020-01-18,.0057
HI,2020-01-18,.0116
ID,2020-01-18,.0168
IL,2020-01-18,-.00473
IN,2020-01-18,.0293
IA,2020-01-18,-.0476
KS,2020-01-18,.00858
KY,2020-01-18,.0404
LA,2020-01-18,.00687
ME,2020-01-18,-.00219
MD,2020-01-18,-.0255
MA,2020-01-18,-.0157
MI,2020-01-18,-.0496
MN,2020-01-18,-.0325
MS,2020-01-18,.016
MO,2020-01-18,.0454
MT,2020-01-18,.0577
NE,2020-01-18,-.0116
NV,2020-01-18,.0321
NH,2020-01-18,-.00276
NJ,2020-01-18,-.00161
NM,2020-01-18,.0136
NY,2020-01-18,-.0127
NC,2020-01-18,-.00102
ND,2020-01-18,-.027
OH,2020-01-18,-.0178
OK,2020-01-18,-.00298
OR,2020-01-18,-.00616
PA,2020-01-18,-.0188
RI,2020-01-18,.0468
SC,2020-01-18,.0323
SD,2020-01-18,-.0748
TN,2020-01-18,.0134
TX,2020-01-18,.00504
UT,2020-01-18,.0106
VT,2020-01-18,-.0267
VA,2020-01-18,.0125
WA,2020-01-18,-.0346
WV,2020-01-18,.0199
WI,2020-01-18,-.0579
WY,2020-01-18,.00268
AL,2020-01-19,.0207
AK,2020-01-19,-.00665
AZ,2020-01-19,.019
AR,2020-01-19,.0292
CA,2020-01-19,.0157
CO,2020-01-19,.015
CT,2020-01-19,.00322
DE,2020-01-19,.0308
DC,2020-01-19,.0225
FL,2020-01-19,.0275
GA,2020-01-19,.0121
HI,2020-01-19,.0231
ID,2020-01-19,.0152
IL,2020-01-19,.0133
IN,2020-01-19,.0216
IA,2020-01-19,-.038
KS,2020-01-19,.0287
KY,2020-01-19,.0235
LA,2020-01-19,.00885
ME,2020-01-19,-.00512
MD,2020-01-19,-.00952
MA,2020-01-19,-.000937
MI,2020-01-19,-.0176
MN,2020-01-19,-.0277
MS,2020-01-19,.0135
MO,2020-01-19,.0342
MT,2020-01-19,.0477
NE,2020-01-19,.00534
NV,2020-01-19,.0369
NH,2020-01-19,-.00233
NJ,2020-01-19,.0142
NM,2020-01-19,.0204
NY,2020-01-19,.0093
NC,2020-01-19,.00632
ND,2020-01-19,-.0255
OH,2020-01-19,.00551
OK,2020-01-19,.0337
OR,2020-01-19,.00347
PA,2020-01-19,.00253
RI,2020-01-19,.0247
SC,2020-01-19,.0397
SD,2020-01-19,-.0472
TN,2020-01-19,.0168
TX,2020-01-19,.0202
UT,2020-01-19,.0167
VT,2020-01-19,.00192
VA,2020-01-19,.0156
WA,2020-01-19,-.0294
WV,2020-01-19,.0151
WI,2020-01-19,-.0303
WY,2020-01-19,.0184
AL,2020-01-20,.026
AK,2020-01-20,.00285
AZ,2020-01-20,.0193
AR,2020-01-20,.0267
CA,2020-01-20,.017
CO,2020-01-20,.0232
CT,2020-01-20,.0811
DE,2020-01-20,.0388
DC,2020-01-20,.00103
FL,2020-01-20,.0327
GA,2020-01-20,.0259
HI,2020-01-20,.0344
ID,2020-01-20,.0335
IL,2020-01-20,.0123
IN,2020-01-20,.0618
IA,2020-01-20,-.0132
KS,2020-01-20,.0217
KY,2020-01-20,.0553
LA,2020-01-20,.0181
ME,2020-01-20,.0908
MD,2020-01-20,-.0255
MA,2020-01-20,.0754
MI,2020-01-20,-.00974
MN,2020-01-20,-.00571
MS,2020-01-20,.0595
MO,2020-01-20,.0371
MT,2020-01-20,.0407
NE,2020-01-20,.0152
NV,2020-01-20,.0519
NH,2020-01-20,.0725
NJ,2020-01-20,.0426
NM,2020-01-20,.0338
NY,2020-01-20,.0722
NC,2020-01-20,.00598
ND,2020-01-20,-.0131
OH,2020-01-20,.043
OK,2020-01-20,.0178
OR,2020-01-20,-.000151
PA,2020-01-20,.0456
RI,2020-01-20,.119
SC,2020-01-20,.05
SD,2020-01-20,.0123
TN,2020-01-20,.0129
TX,2020-01-20,.0321
UT,2020-01-20,.0329
VT,2020-01-20,.102
VA,2020-01-20,-.01
WA,2020-01-20,-.011
WV,2020-01-20,.0147
WI,2020-01-20,-.0226
WY,2020-01-20,.0195
AL,2020-01-21,.0233
AK,2020-01-21,.0286
AZ,2020-01-21,.0118
AR,2020-01-21,.0311
CA,2020-01-21,.0144
CO,2020-01-21,.0158
CT,2020-01-21,.047
DE,2020-01-21,.0187
DC,2020-01-21,.0257
FL,2020-01-21,.0188
GA,2020-01-21,.0207
HI,2020-01-21,.0129
ID,2020-01-21,.0159
IL,2020-01-21,-.000729
IN,2020-01-21,.0263
IA,2020-01-21,-.0194
KS,2020-01-21,.0288
KY,2020-01-21,.0242
LA,2020-01-21,.00728
ME,2020-01-21,.00848
MD,2020-01-21,-.00755
MA,2020-01-21,.0176
MI,2020-01-21,-.0233
MN,2020-01-21,-.0147
MS,2020-01-21,.0392
MO,2020-01-21,.0249
MT,2020-01-21,.063
NE,2020-01-21,.00186
NV,2020-01-21,.0455
NH,2020-01-21,.0245
NJ,2020-01-21,.0152
NM,2020-01-21,.00678
NY,2020-01-21,.0227
NC,2020-01-21,.00362
ND,2020-01-21,-.019
OH,2020-01-21,.0195
OK,2020-01-21,.0172
OR,2020-01-21,.0111
PA,2020-01-21,.0128
RI,2020-01-21,.0432
SC,2020-01-21,.023
SD,2020-01-21,-.0191
TN,2020-01-21,.00373
TX,2020-01-21,.0219
UT,2020-01-21,.0226
VT,2020-01-21,.0536
VA,2020-01-21,-.000125
WA,2020-01-21,-.00138
WV,2020-01-21,-.00699
WI,2020-01-21,-.0296
WY,2020-01-21,.0245
AL,2020-01-22,.0248
AK,2020-01-22,.0231
AZ,2020-01-22,.00147
