state,date,covidCases
DE,2020-01-23,0
DC,2020-01-23,0
FL,2020-01-23,0
GA,2020-01-23,0
HI,2020-01-23,0
ID,2020-01-23,0
IL,2020-01-23,0
IN,2020-01-23,0
IA,2020-01-23,0
KS,2020-01-23,0
KY,2020-01-23,0
LA,2020-01-23,0
ME,2020-01-23,0
MD,2020-01-23,0
MA,2020-01-23,0
MI,2020-01-23,0
MN,2020-01-23,0
MS,2020-01-23,0
MO,2020-01-23,0
MT,2020-01-23,0
NE,2020-01-23,0
NV,2020-01-23,0
NH,2020-01-23,0
NJ,2020-01-23,0
NM,2020-01-23,0
NY,2020-01-23,0
NC,2020-01-23,0
ND,2020-01-23,0
OH,2020-01-23,0
OK,2020-01-23,0
OR,2020-01-23,0
PA,2020-01-23,0
RI,2020-01-23,0
SC,2020-01-23,0
SD,2020-01-23,0
TN,2020-01-23,0
TX,2020-01-23,0
UT,2020-01-23,0
VT,2020-01-23,0
VA,2020-01-23,0
WA,2020-01-23,1
WV,2020-01-23,0
WI,2020-01-23,0
WY,2020-01-23,0
AL,2020-01-24,0
AK,2020-01-24,0
AZ,2020-01-24,0
AR,2020-01-24,0
CA,2020-01-24,0
CO,2020-01-24,0
CT,2020-01-24,0
DE,2020-01-24,0
DC,2020-01-24,0
FL,2020-01-24,0
GA,2020-01-24,0
HI,2020-01-24,0
ID,2020-01-24,0
IL,2020-01-24,1
IN,2020-01-24,0
IA,2020-01-24,0
KS,2020-01-24,0
KY,2020-01-24,0
LA,2020-01-24,0
ME,2020-01-24,0
MD,2020-01-24,0
MA,2020-01-24,0
MI,2020-01-24,0
MN,2020-01-24,0
MS,2020-01-24,0
MO,2020-01-24,0
MT,2020-01-24,0
NE,2020-01-24,0
NV,2020-01-24,0
NH,2020-01-24,0
NJ,2020-01-24,0
NM,2020-01-24,0
NY,2020-01-24,0
NC,2020-01-24,0
ND,2020-01-24,0
OH,2020-01-24,0
OK,2020-01-24,0
OR,2020-01-24,0
PA,2020-01-24,0
RI,2020-01-24,0
SC,2020-01-24,0
SD,2020-01-24,0
TN,2020-01-24,0
TX,2020-01-24,0
UT,2020-01-24,0
VT,2020-01-24,0
VA,2020-01-24,0
WA,2020-01-24,1
WV,2020-01-24,0
WI,2020-01-24,0
WY,2020-01-24,0
AL,2020-01-25,0
AK,2020-01-25,0
AZ,2020-01-25,0
AR,2020-01-25,0
CA,2020-01-25,1
CO,2020-01-25,0
CT,2020-01-25,0
DE,2020-01-25,0
DC,2020-01-25,0
FL,2020-01-25,0
GA,2020-01-25,0
HI,2020-01-25,0
ID,2020-01-25,0
IL,2020-01-25,1
IN,2020-01-25,0
IA,2020-01-25,0
KS,2020-01-25,0
KY,2020-01-25,0
LA,2020-01-25,0
ME,2020-01-25,0
MD,2020-01-25,0
MA,2020-01-25,0
MI,2020-01-25,0
MN,2020-01-25,0
MS,2020-01-25,0
MO,2020-01-25,0
MT,2020-01-25,0
NE,2020-01-25,0
NV,2020-01-25,0
NH,2020-01-25,0
NJ,2020-01-25,0
NM,2020-01-25,0
NY,2020-01-25,0
NC,2020-01-25,0
ND,2020-01-25,0
OH,2020-01-25,0
OK,2020-01-25,0
OR,2020-01-25,0
PA,2020-01-25,0
RI,2020-01-25,0
SC,2020-01-25,0
SD,2020-01-25,0
TN,2020-01-25,0
TX,2020-01-25,0
UT,2020-01-25,0
VT,2020-01-25,0
VA,2020-01-25,0
WA,2020-01-25,1
WV,2020-01-25,0
WI,2020-01-25,0
WY,2020-01-25,0
AL,2020-01-26,0
AK,2020-01-26,0
AZ,2020-01-26,1
AR,2020-01-26,0
CA,2020-01-26,2
CO,2020-01-26,0
CT,2020-01-26,0
DE,2020-01-26,0
DC,2020-01-26,0
FL,2020-01-26,0
GA,2020-01-26,0
HI,2020-01-26,0
ID,2020-01-26,0
IL,2020-01-26,1
IN,2020-01-26,0
IA,2020-01-26,0
KS,2020-01-26,0
KY,2020-01-26,0
LA,2020-01-26,0
ME,2020-01-26,0
MD,2020-01-26,0
MA,2020-01-26,0
MI,2020-01-26,0
MN,2020-01-26,0
MS,2020-01-26,0
MO,2020-01-26,0
MT,2020-01-26,0
NE,2020-01-26,0
NV,2020-01-26,0
NH,2020-01-26,0
NJ,2020-01-26,0
NM,2020-01-26,0
NY,2020-01-26,0
NC,2020-01-26,0
ND,2020-01-26,0
OH,2020-01-26,0
OK,2020-01-26,0
OR,2020-01-26,0
PA,2020-01-26,0
RI,2020-01-26,0
SC,2020-01-26,0
SD,2020-01-26,0
TN,2020-01-26,0
TX,2020-01-26,0
UT,2020-01-26,0
VT,2020-01-26,0
VA,2020-01-26,0
WA,2020-01-26,1
WV,2020-01-26,0
WI,2020-01-26,0
WY,2020-01-26,0
AL,2020-01-27,0
AK,2020-01-27,0
AZ,2020-01-27,1
AR,2020-01-27,0
CA,2020-01-27,2
CO,2020-01-27,0
CT,2020-01-27,0
DE,2020-01-27,0
DC,2020-01-27,0
FL,2020-01-27,0
GA,2020-01-27,0
HI,2020-01-27,0
ID,2020-01-27,0
IL,2020-01-27,1
IN,2020-01-27,0
IA,2020-01-27,0
KS,2020-01-27,0
KY,2020-01-27,0
LA,2020-01-27,0
ME,2020-01-27,0
MD,2020-01-27,0
MA,2020-01-27,0
MI,2020-01-27,0
MN,2020-01-27,0
MS,2020-01-27,0
MO,2020-01-27,0
MT,2020-01-27,0
NE,2020-01-27,0
NV,2020-01-27,0
NH,2020-01-27,0
NJ,2020-01-27,0
NM,2020-01-27,0
NY,2020-01-27,0
NC,2020-01-27,0
ND,2020-01-27,0
OH,2020-01-27,0
OK,2020-01-27,0
OR,2020-01-27,0
PA,2020-01-27,0
RI,2020-01-27,0
SC,2020-01-27,0
SD,2020-01-27,0
TN,2020-01-27,0
TX,2020-01-27,0
UT,2020-01-27,0
VT,2020-01-27,0
VA,2020-01-27,0
WA,2020-01-27,1
WV,2020-01-27,0
WI,2020-01-27,0
WY,2020-01-27,0
AL,2020-01-28,0
AK,2020-01-28,0
AZ,2020-01-28,1
AR,2020-01-28,0
CA,2020-01-28,2
CO,2020-01-28,0
CT,2020-01-28,0
DE,2020-01-28,0
DC,2020-01-28,0
FL,2020-01-28,0
GA,2020-01-28,0
HI,2020-01-28,0
ID,2020-01-28,0
IL,2020-01-28,1
IN,2020-01-28,0
IA,2020-01-28,0
KS,2020-01-28,0
KY,2020-01-28,0
LA,2020-01-28,0
ME,2020-01-28,0
MD,2020-01-28,0
MA,2020-01-28,0
MI,2020-01-28,0
MN,2020-01-28,0
MS,2020-01-28,0
MO,2020-01-28,0
MT,2020-01-28,0
NE,2020-01-28,0
NV,2020-01-28,0
NH,2020-01-28,0
NJ,2020-01-28,0
NM,2020-01-28,0
NY,2020-01-28,0
NC,2020-01-28,0
ND,2020-01-28,0
OH,2020-01-28,0
OK,2020-01-28,0
OR,2020-01-28,0
PA,2020-01-28,0
RI,2020-01-28,0
SC,2020-01-28,0
SD,2020-01-28,0
TN,2020-01-28,0
TX,2020-01-28,0
UT,2020-01-28,0
VT,2020-01-28,0
VA,2020-01-28,0
WA,2020-01-28,1
WV,2020-01-28,0
WI,2020-01-28,0
WY,2020-01-28,0
AL,2020-01-29,0
AK,2020-01-29,0
AZ,2020-01-29,1
AR,2020-01-29,0
CA,2020-01-29,2
CO,2020-01-29,0
CT,2020-01-29,0
DE,2020-01-29,0
DC,2020-01-29,0
FL,2020-01-29,0
GA,2020-01-29,0
HI,2020-01-29,0
ID,2020-01-29,0
IL,2020-01-29,1
IN,2020-01-29,0
IA,2020-01-29,0
KS,2020-01-29,0
KY,2020-01-29,0
LA,2020-01-29,0
ME,2020-01-29,0
MD,2020-01-29,0
MA,2020-01-29,0
MI,2020-01-29,0
MN,2020-01-29,0
MS,2020-01-29,0
MO,2020-01-29,0
MT,2020-01-29,0
NE,2020-01-29,0
NV,2020-01-29,0
NH,2020-01-29,0
NJ,2020-01-29,0
NM,2020-01-29,0
NY,2020-01-29,0
NC,2020-01-29,0
ND,2020-01-29,0
OH,2020-01-29,0
OK,2020-01-29,0
OR,2020-01-29,0
PA,2020-01-29,0
RI,2020-01-29,0
SC,2020-01-29,0
SD,2020-01-29,0
TN,2020-01-29,0
TX,2020-01-29,0
UT,2020-01-29,0
VT,2020-01-29,0
VA,2020-01-29,0
WA,2020-01-29,1
WV,2020-01-29,0
WI,2020-01-29,0
WY,2020-01-29,0
AL,2020-01-30,0
AK,2020-01-30,0
AZ,2020-01-30,1
AR,2020-01-30,0
CA,2020-01-30,2
CO,2020-01-30,0
CT,2020-01-30,0
DE,2020-01-30,0
DC,2020-01-30,0
FL,2020-01-30,0
GA,2020-01-30,0
HI,2020-01-30,0
ID,2020-01-30,0
IL,2020-01-30,2
IN,2020-01-30,0
IA,2020-01-30,0
KS,2020-01-30,0
KY,2020-01-30,0
LA,2020-01-30,0
ME,2020-01-30,0
MD,2020-01-30,0
MA,2020-01-30,0
MI,2020-01-30,0
MN,2020-01-30,0
MS,2020-01-30,0
MO,2020-01-30,0
MT,2020-01-30,0
NE,2020-01-30,0
NV,2020-01-30,0
NH,2020-01-30,0
NJ,2020-01-30,0
NM,2020-01-30,0
NY,2020-01-30,0
NC,2020-01-30,0
ND,2020-01-30,0
OH,2020-01-30,0
OK,2020-01-30,0
OR,2020-01-30,0
PA,2020-01-30,0
RI,2020-01-30,0
SC,2020-01-30,0
SD,2020-01-30,0
TN,2020-01-30,0
TX,2020-01-30,0
UT,2020-01-30,0
VT,2020-01-30,0
VA,2020-01-30,0
WA,2020-01-30,1
WV,2020-01-30,0
WI,2020-01-30,0
WY,2020-01-30,0
AL,2020-01-31,0
AK,2020-01-31,0
AZ,2020-01-31,1
AR,2020-01-31,0
CA,2020-01-31,3
CO,2020-01-31,0
CT,2020-01-31,0
DE,2020-01-31,0
DC,2020-01-31,0
FL,2020-01-31,0
GA,2020-01-31,0
HI,2020-01-31,0
ID,2020-01-31,0
IL,2020-01-31,2
IN,2020-01-31,0
IA,2020-01-31,0
KS,2020-01-31,0
KY,2020-01-31,0
LA,2020-01-31,0
ME,2020-01-31,0
MD,2020-01-31,0
MA,2020-01-31,0
MI,2020-01-31,0
MN,2020-01-31,0
MS,2020-01-31,0
MO,2020-01-31,0
MT,2020-01-31,0
NE,2020-01-31,0
NV,2020-01-31,0
NH,2020-01-31,0
NJ,2020-01-31,0
NM,2020-01-31,0
NY,2020-01-31,0
NC,2020-01-31,0
ND,2020-01-31,0
OH,2020-01-31,0
OK,2020-01-31,0
OR,2020-01-31,0
PA,2020-01-31,0
RI,2020-01-31,0
SC,2020-01-31,0
SD,2020-01-31,0
TN,2020-01-31,0
TX,2020-01-31,0
UT,2020-01-31,0
VT,2020-01-31,0
VA,2020-01-31,0
WA,2020-01-31,1
WV,2020-01-31,0
WI,2020-01-31,0
WY,2020-01-31,0
AL,2020-02-01,0
AK,2020-02-01,0
AZ,2020-02-01,1
AR,2020-02-01,0
CA,2020-02-01,3
CO,2020-02-01,0
CT,2020-02-01,0
DE,2020-02-01,0
DC,2020-02-01,0
FL,2020-02-01,0
GA,2020-02-01,0
HI,2020-02-01,0
ID,2020-02-01,0
IL,2020-02-01,2
IN,2020-02-01,0
IA,2020-02-01,0
KS,2020-02-01,0
KY,2020-02-01,0
LA,2020-02-01,0
ME,2020-02-01,0
MD,2020-02-01,0
MA,2020-02-01,1
MI,2020-02-01,0
MN,2020-02-01,0
MS,2020-02-01,0
MO,2020-02-01,0
MT,2020-02-01,0
NE,2020-02-01,0
NV,2020-02-01,0
NH,2020-02-01,0
NJ,2020-02-01,0
NM,2020-02-01,0
NY,2020-02-01,0
NC,2020-02-01,0
ND,2020-02-01,0
OH,2020-02-01,0
OK,2020-02-01,0
OR,2020-02-01,0
PA,2020-02-01,0
RI,2020-02-01,0
SC,2020-02-01,0
SD,2020-02-01,0
TN,2020-02-01,0
TX,2020-02-01,0
UT,2020-02-01,0
VT,2020-02-01,0
VA,2020-02-01,0
WA,2020-02-01,1
WV,2020-02-01,0
WI,2020-02-01,0
WY,2020-02-01,0
AL,2020-02-02,0
AK,2020-02-02,0
AZ,2020-02-02,1
AR,2020-02-02,0
CA,2020-02-02,6
CO,2020-02-02,0
CT,2020-02-02,0
DE,2020-02-02,0
DC,2020-02-02,0
FL,2020-02-02,0
GA,2020-02-02,0
HI,2020-02-02,0
ID,2020-02-02,0
IL,2020-02-02,2
IN,2020-02-02,0
IA,2020-02-02,0
KS,2020-02-02,0
KY,2020-02-02,0
LA,2020-02-02,0
ME,2020-02-02,0
MD,2020-02-02,0
MA,2020-02-02,1
MI,2020-02-02,0
MN,2020-02-02,0
MS,2020-02-02,0
MO,2020-02-02,0
MT,2020-02-02,0
NE,2020-02-02,0
NV,2020-02-02,0
NH,2020-02-02,0
NJ,2020-02-02,0
NM,2020-02-02,0
NY,2020-02-02,0
NC,2020-02-02,0
ND,2020-02-02,0
OH,2020-02-02,0
OK,2020-02-02,0
OR,2020-02-02,0
PA,2020-02-02,0
RI,2020-02-02,0
SC,2020-02-02,0
SD,2020-02-02,0
TN,2020-02-02,0
TX,2020-02-02,0
UT,2020-02-02,0
VT,2020-02-02,0
VA,2020-02-02,0
WA,2020-02-02,1
WV,2020-02-02,0
WI,2020-02-02,0
WY,2020-02-02,0
AL,2020-02-03,0
AK,2020-02-03,0
AZ,2020-02-03,1
AR,2020-02-03,0
CA,2020-02-03,6
CO,2020-02-03,0
CT,2020-02-03,0
DE,2020-02-03,0
DC,2020-02-03,0
FL,2020-02-03,0
GA,2020-02-03,0
HI,2020-02-03,0
ID,2020-02-03,0
IL,2020-02-03,2
IN,2020-02-03,0
IA,2020-02-03,0
KS,2020-02-03,0
KY,2020-02-03,0
LA,2020-02-03,0
ME,2020-02-03,0
MD,2020-02-03,0
MA,2020-02-03,1
MI,2020-02-03,0
MN,2020-02-03,0
MS,2020-02-03,0
MO,2020-02-03,0
MT,2020-02-03,0
NE,2020-02-03,0
NV,2020-02-03,0
NH,2020-02-03,0
NJ,2020-02-03,0
NM,2020-02-03,0
NY,2020-02-03,0
NC,2020-02-03,0
ND,2020-02-03,0
OH,2020-02-03,0
OK,2020-02-03,0
OR,2020-02-03,0
PA,2020-02-03,0
RI,2020-02-03,0
SC,2020-02-03,0
SD,2020-02-03,0
TN,2020-02-03,0
TX,2020-02-03,0
UT,2020-02-03,0
VT,2020-02-03,0
VA,2020-02-03,0
WA,2020-02-03,1
WV,2020-02-03,0
WI,2020-02-03,0
WY,2020-02-03,0
AL,2020-02-04,0
AK,2020-02-04,0
AZ,2020-02-04,1
AR,2020-02-04,0
CA,2020-02-04,6
CO,2020-02-04,0
CT,2020-02-04,0
DE,2020-02-04,0
DC,2020-02-04,0
FL,2020-02-04,0
GA,2020-02-04,0
HI,2020-02-04,0
ID,2020-02-04,0
IL,2020-02-04,2
IN,2020-02-04,0
IA,2020-02-04,0
KS,2020-02-04,0
KY,2020-02-04,0
LA,2020-02-04,0
ME,2020-02-04,0
MD,2020-02-04,0
MA,2020-02-04,1
MI,2020-02-04,0
MN,2020-02-04,0
MS,2020-02-04,0
MO,2020-02-04,0
MT,2020-02-04,0
NE,2020-02-04,0
NV,2020-02-04,0
NH,2020-02-04,0
NJ,2020-02-04,0
NM,2020-02-04,0
NY,2020-02-04,0
NC,2020-02-04,0
ND,2020-02-04,0
OH,2020-02-04,0
OK,2020-02-04,0
OR,2020-02-04,0
PA,2020-02-04,0
RI,2020-02-04,0
SC,2020-02-04,0
SD,2020-02-04,0
TN,2020-02-04,0
TX,2020-02-04,0
UT,2020-02-04,0
VT,2020-02-04,0
VA,2020-02-04,0
WA,2020-02-04,1
WV,2020-02-04,0
WI,2020-02-04,0
WY,2020-02-04,0
AL,2020-02-05,0
AK,2020-02-05,0
AZ,2020-02-05,1
AR,2020-02-05,0
CA,2020-02-05,6
CO,2020-02-05,0
CT,2020-02-05,0
DE,2020-02-05,0
DC,2020-02-05,0
FL,2020-02-05,0
GA,2020-02-05,0
HI,2020-02-05,0
ID,2020-02-05,0
IL,2020-02-05,2
IN,2020-02-05,0
IA,2020-02-05,0
KS,2020-02-05,0
KY,2020-02-05,0
LA,2020-02-05,0
ME,2020-02-05,0
MD,2020-02-05,0
MA,2020-02-05,1
MI,2020-02-05,0
MN,2020-02-05,0
MS,2020-02-05,0
MO,2020-02-05,0
MT,2020-02-05,0
NE,2020-02-05,0
NV,2020-02-05,0
NH,2020-02-05,0
NJ,2020-02-05,0
NM,2020-02-05,0
NY,2020-02-05,0
NC,2020-02-05,0
ND,2020-02-05,0
OH,2020-02-05,0
OK,2020-02-05,0
OR,2020-02-05,0
PA,2020-02-05,0
RI,2020-02-05,0
SC,2020-02-05,0
SD,2020-02-05,0
TN,2020-02-05,0
TX,2020-02-05,0
UT,2020-02-05,0
VT,2020-02-05,0
VA,2020-02-05,0
WA,2020-02-05,1
WV,2020-02-05,0
WI,2020-02-05,1
WY,2020-02-05,0
AL,2020-02-06,0
AK,2020-02-06,0
AZ,2020-02-06,1
AR,2020-02-06,0
CA,2020-02-06,6
CO,2020-02-06,0
CT,2020-02-06,0
DE,2020-02-06,0
DC,2020-02-06,0
FL,2020-02-06,0
GA,2020-02-06,0
HI,2020-02-06,0
ID,2020-02-06,0
IL,2020-02-06,2
IN,2020-02-06,0
IA,2020-02-06,0
KS,2020-02-06,0
KY,2020-02-06,0
LA,2020-02-06,0
ME,2020-02-06,0
MD,2020-02-06,0
MA,2020-02-06,1
MI,2020-02-06,0
MN,2020-02-06,0
MS,2020-02-06,0
MO,2020-02-06,0
MT,2020-02-06,0
NE,2020-02-06,0
NV,2020-02-06,0
NH,2020-02-06,0
NJ,2020-02-06,0
NM,2020-02-06,0
NY,2020-02-06,0
NC,2020-02-06,0
ND,2020-02-06,0
OH,2020-02-06,0
OK,2020-02-06,0
OR,2020-02-06,0
PA,2020-02-06,0
RI,2020-02-06,0
SC,2020-02-06,0
SD,2020-02-06,0
TN,2020-02-06,0
TX,2020-02-06,0
UT,2020-02-06,0
VT,2020-02-06,0
VA,2020-02-06,0
WA,2020-02-06,1
WV,2020-02-06,0
WI,2020-02-06,1
WY,2020-02-06,0
AL,2020-02-07,0
AK,2020-02-07,0
AZ,2020-02-07,1
AR,2020-02-07,0
CA,2020-02-07,6
CO,2020-02-07,0
CT,2020-02-07,0
DE,2020-02-07,0
DC,2020-02-07,0
FL,2020-02-07,0
GA,2020-02-07,0
HI,2020-02-07,0
ID,2020-02-07,0
IL,2020-02-07,2
IN,2020-02-07,0
IA,2020-02-07,0
KS,2020-02-07,0
KY,2020-02-07,0
LA,2020-02-07,0
ME,2020-02-07,0
MD,2020-02-07,0
MA,2020-02-07,1
MI,2020-02-07,0
MN,2020-02-07,0
MS,2020-02-07,0
MO,2020-02-07,0
MT,2020-02-07,0
NE,2020-02-07,0
NV,2020-02-07,0
NH,2020-02-07,0
NJ,2020-02-07,0
NM,2020-02-07,0
NY,2020-02-07,0
NC,2020-02-07,0
ND,2020-02-07,0
OH,2020-02-07,0
OK,2020-02-07,0
OR,2020-02-07,0
PA,2020-02-07,0
RI,2020-02-07,0
SC,2020-02-07,0
SD,2020-02-07,0
TN,2020-02-07,0
TX,2020-02-07,0
UT,2020-02-07,0
VT,2020-02-07,0
VA,2020-02-07,0
WA,2020-02-07,1
WV,2020-02-07,0
WI,2020-02-07,1
WY,2020-02-07,0
AL,2020-02-08,0
AK,2020-02-08,0
AZ,2020-02-08,1
AR,2020-02-08,0
CA,2020-02-08,6
CO,2020-02-08,0
CT,2020-02-08,0
DE,2020-02-08,0
DC,2020-02-08,0
FL,2020-02-08,0
GA,2020-02-08,0
HI,2020-02-08,0
ID,2020-02-08,0
IL,2020-02-08,2
IN,2020-02-08,0
IA,2020-02-08,0
KS,2020-02-08,0
KY,2020-02-08,0
LA,2020-02-08,0
ME,2020-02-08,0
MD,2020-02-08,0
MA,2020-02-08,1
MI,2020-02-08,0
MN,2020-02-08,0
MS,2020-02-08,0
MO,2020-02-08,0
MT,2020-02-08,0
NE,2020-02-08,0
NV,2020-02-08,0
NH,2020-02-08,0
NJ,2020-02-08,0
NM,2020-02-08,0
NY,2020-02-08,0
NC,2020-02-08,0
ND,2020-02-08,0
OH,2020-02-08,0
OK,2020-02-08,0
OR,2020-02-08,0
PA,2020-02-08,0
RI,2020-02-08,0
SC,2020-02-08,0
SD,2020-02-08,0
TN,2020-02-08,0
TX,2020-02-08,0
UT,2020-02-08,0
VT,2020-02-08,0
VA,2020-02-08,0
WA,2020-02-08,1
WV,2020-02-08,0
WI,2020-02-08,1
WY,2020-02-08,0
AL,2020-02-09,0
AK,2020-02-09,0
AZ,2020-02-09,1
AR,2020-02-09,0
CA,2020-02-09,6
CO,2020-02-09,0
CT,2020-02-09,0
DE,2020-02-09,0
DC,2020-02-09,0
FL,2020-02-09,0
GA,2020-02-09,0
HI,2020-02-09,0
ID,2020-02-09,0
IL,2020-02-09,2
IN,2020-02-09,0
IA,2020-02-09,0
KS,2020-02-09,0
KY,2020-02-09,0
LA,2020-02-09,0
ME,2020-02-09,0
MD,2020-02-09,0
MA,2020-02-09,1
MI,2020-02-09,0
MN,2020-02-09,0
MS,2020-02-09,0
MO,2020-02-09,0
MT,2020-02-09,0
NE,2020-02-09,0
NV,2020-02-09,0
NH,2020-02-09,0
NJ,2020-02-09,0
NM,2020-02-09,0
NY,2020-02-09,0
NC,2020-02-09,0
ND,2020-02-09,0
OH,2020-02-09,0
OK,2020-02-09,0
OR,2020-02-09,0
PA,2020-02-09,0
RI,2020-02-09,0
SC,2020-02-09,0
SD,2020-02-09,0
TN,2020-02-09,0
TX,2020-02-09,0
UT,2020-02-09,0
VT,2020-02-09,0
VA,2020-02-09,0
WA,2020-02-09,1
WV,2020-02-09,0
WI,2020-02-09,1
WY,2020-02-09,0
AL,2020-02-10,0
AK,2020-02-10,0
AZ,2020-02-10,1
AR,2020-02-10,0
CA,2020-02-10,7
CO,2020-02-10,0
CT,2020-02-10,0
DE,2020-02-10,0
DC,2020-02-10,0
FL,2020-02-10,0
GA,2020-02-10,0
HI,2020-02-10,0
ID,2020-02-10,0
IL,2020-02-10,2
IN,2020-02-10,0
IA,2020-02-10,0
KS,2020-02-10,0
KY,2020-02-10,0
LA,2020-02-10,0
ME,2020-02-10,0
MD,2020-02-10,0
MA,2020-02-10,1
MI,2020-02-10,0
MN,2020-02-10,0
MS,2020-02-10,0
MO,2020-02-10,0
MT,2020-02-10,0
NE,2020-02-10,0
NV,2020-02-10,0
NH,2020-02-10,0
NJ,2020-02-10,0
NM,2020-02-10,0
NY,2020-02-10,0
NC,2020-02-10,0
ND,2020-02-10,0
OH,2020-02-10,0
OK,2020-02-10,0
OR,2020-02-10,0
PA,2020-02-10,0
RI,2020-02-10,0
SC,2020-02-10,0
SD,2020-02-10,0
TN,2020-02-10,0
TX,2020-02-10,0
UT,2020-02-10,0
VT,2020-02-10,0
VA,2020-02-10,0
WA,2020-02-10,1
WV,2020-02-10,0
WI,2020-02-10,1
WY,2020-02-10,0
AL,2020-02-11,0
AK,2020-02-11,0
AZ,2020-02-11,1
AR,2020-02-11,0
CA,2020-02-11,7
CO,2020-02-11,0
CT,2020-02-11,0
DE,2020-02-11,0
DC,2020-02-11,0
FL,2020-02-11,0
GA,2020-02-11,0
HI,2020-02-11,0
ID,2020-02-11,0
IL,2020-02-11,2
IN,2020-02-11,0
IA,2020-02-11,0
KS,2020-02-11,0
KY,2020-02-11,0
LA,2020-02-11,0
ME,2020-02-11,0
MD,2020-02-11,0
MA,2020-02-11,1
MI,2020-02-11,0
MN,2020-02-11,0
MS,2020-02-11,0
MO,2020-02-11,0
MT,2020-02-11,0
NE,2020-02-11,0
NV,2020-02-11,0
NH,2020-02-11,0
NJ,2020-02-11,0
NM,2020-02-11,0
NY,2020-02-11,0
NC,2020-02-11,0
ND,2020-02-11,0
OH,2020-02-11,0
OK,2020-02-11,0
OR,2020-02-11,0
PA,2020-02-11,0
RI,2020-02-11,0
SC,2020-02-11,0
SD,2020-02-11,0
TN,2020-02-11,0
TX,2020-02-11,0
UT,2020-02-11,0
VT,2020-02-11,0
VA,2020-02-11,0
WA,2020-02-11,1
WV,2020-02-11,0
WI,2020-02-11,1
WY,2020-02-11,0
AL,2020-02-12,0
AK,2020-02-12,0
AZ,2020-02-12,1
AR,2020-02-12,0
CA,2020-02-12,7
CO,2020-02-12,0
CT,2020-02-12,0
DE,2020-02-12,0
DC,2020-02-12,0
FL,2020-02-12,0
GA,2020-02-12,0
HI,2020-02-12,0
ID,2020-02-12,0
IL,2020-02-12,2
IN,2020-02-12,0
IA,2020-02-12,0
KS,2020-02-12,0
KY,2020-02-12,0
LA,2020-02-12,0
ME,2020-02-12,0
MD,2020-02-12,0
MA,2020-02-12,1
MI,2020-02-12,0
MN,2020-02-12,0
MS,2020-02-12,0
MO,2020-02-12,0
MT,2020-02-12,0
NE,2020-02-12,0
NV,2020-02-12,0
NH,2020-02-12,0
NJ,2020-02-12,0
NM,2020-02-12,0
NY,2020-02-12,0
NC,2020-02-12,0
ND,2020-02-12,0
OH,2020-02-12,0
OK,2020-02-12,0
OR,2020-02-12,0
PA,2020-02-12,0
